eidr_normalized,wdc_count,wikidata_count,pairs_count,problematic_reasons,sample_wdc_value,sample_wikidata_value
105240/ada405e56a7cbee0bfe8w,2,1,2,multiple_wdc_entities_for_same_code,10.5240/ADA4-05E5-6A7C-BEE0-BFE8-W,10.5240/ADA4-05E5-6A7C-BEE0-BFE8-W
105240/ad754c244c6e7180da6dk,2,1,2,multiple_wdc_entities_for_same_code,10.5240/AD75-4C24-4C6E-7180-DA6D-K,10.5240/AD75-4C24-4C6E-7180-DA6D-K
105240/a33f27eaf985fb810cbfn,2,1,2,multiple_wdc_entities_for_same_code,10.5240/A33F-27EA-F985-FB81-0CBF-N,10.5240/A33F-27EA-F985-FB81-0CBF-N
105240/9d586871e30ed1e28706z,2,1,2,multiple_wdc_entities_for_same_code,10.5240/9D58-6871-E30E-D1E2-8706-Z,10.5240/9D58-6871-E30E-D1E2-8706-Z
105240/87529e3448d3576f9ea3n,2,1,2,multiple_wdc_entities_for_same_code,10.5240/8752-9E34-48D3-576F-9EA3-N,10.5240/8752-9E34-48D3-576F-9EA3-N
105240/8537d218c1cbd54f4bbaq,2,1,2,multiple_wdc_entities_for_same_code,10.5240/8537-D218-C1CB-D54F-4BBA-Q,10.5240/8537-D218-C1CB-D54F-4BBA-Q
105240/83cab999433426402994k,2,1,2,multiple_wdc_entities_for_same_code,10.5240/83CA-B999-4334-2640-2994-K,10.5240/83CA-B999-4334-2640-2994-K
105240/80341337d2da2134bc92v,2,1,2,multiple_wdc_entities_for_same_code,10.5240/8034-1337-D2DA-2134-BC92-V,10.5240/8034-1337-D2DA-2134-BC92-V
105240/7f9354bb49efcd692c90r,2,1,2,multiple_wdc_entities_for_same_code,10.5240/7F93-54BB-49EF-CD69-2C90-R,10.5240/7F93-54BB-49EF-CD69-2C90-R
105240/73882489aad3ba65e318y,2,1,2,multiple_wdc_entities_for_same_code,10.5240/7388-2489-AAD3-BA65-E318-Y,10.5240/7388-2489-AAD3-BA65-E318-Y
105240/71a5204f10f2ae31f66c5,2,1,2,multiple_wdc_entities_for_same_code,10.5240/71A5-204F-10F2-AE31-F66C-5,10.5240/71A5-204F-10F2-AE31-F66C-5
105240/60b738494ceb99d95382s,2,1,2,multiple_wdc_entities_for_same_code,10.5240/60B7-3849-4CEB-99D9-5382-S,10.5240/60B7-3849-4CEB-99D9-5382-S
105240/5954c921c67753c110f9g,2,1,2,multiple_wdc_entities_for_same_code,10.5240/5954-C921-C677-53C1-10F9-G,10.5240/5954-C921-C677-53C1-10F9-G
105240/4e5878536b0f88a29c65m,2,1,2,multiple_wdc_entities_for_same_code,10.5240/4E58-7853-6B0F-88A2-9C65-M,10.5240/4E58-7853-6B0F-88A2-9C65-M
105240/4aedb282ce41d47d461d8,2,1,2,multiple_wdc_entities_for_same_code,10.5240/4AED-B282-CE41-D47D-461D-8,10.5240/4AED-B282-CE41-D47D-461D-8
105240/47f844a5c97f86b904ffn,2,1,2,multiple_wdc_entities_for_same_code,10.5240/47F8-44A5-C97F-86B9-04FF-N,10.5240/47F8-44A5-C97F-86B9-04FF-N
105240/40db0a54275db1f11bbei,2,1,2,multiple_wdc_entities_for_same_code,10.5240/40DB-0A54-275D-B1F1-1BBE-I,10.5240/40DB-0A54-275D-B1F1-1BBE-I
105240/3d98977893ce183f1fbcy,2,1,2,multiple_wdc_entities_for_same_code,10.5240/3D98-9778-93CE-183F-1FBC-Y,10.5240/3D98-9778-93CE-183F-1FBC-Y
105240/3b9f7d0d9c2ceadf7ad3w,2,1,2,multiple_wdc_entities_for_same_code,10.5240/3B9F-7D0D-9C2C-EADF-7AD3-W,10.5240/3B9F-7D0D-9C2C-EADF-7AD3-W
105240/3b13acb5e0807b6ddf7ev,2,1,2,multiple_wdc_entities_for_same_code,10.5240/3B13-ACB5-E080-7B6D-DF7E-V,10.5240/3B13-ACB5-E080-7B6D-DF7E-V
105240/37b5ecb98e1a98901f4d2,2,1,2,multiple_wdc_entities_for_same_code,10.5240/37B5-ECB9-8E1A-9890-1F4D-2,10.5240/37B5-ECB9-8E1A-9890-1F4D-2
105240/2b72af596f1d045265f4i,2,1,2,multiple_wdc_entities_for_same_code,10.5240/2B72-AF59-6F1D-0452-65F4-I,10.5240/2B72-AF59-6F1D-0452-65F4-I
105240/2a9a64b20dbb25d0f53fx,2,1,2,multiple_wdc_entities_for_same_code,10.5240/2A9A-64B2-0DBB-25D0-F53F-X,10.5240/2A9A-64B2-0DBB-25D0-F53F-X
105240/26feae936b1c564549f9t,2,1,2,multiple_wdc_entities_for_same_code,10.5240/26FE-AE93-6B1C-5645-49F9-T,10.5240/26FE-AE93-6B1C-5645-49F9-T
105240/24db42b239f6621513991,2,1,2,multiple_wdc_entities_for_same_code,10.5240/24DB-42B2-39F6-6215-1399-1,10.5240/24DB-42B2-39F6-6215-1399-1
105240/249de76f7e61b4989caf3,2,1,2,multiple_wdc_entities_for_same_code,10.5240/249D-E76F-7E61-B498-9CAF-3,10.5240/249D-E76F-7E61-B498-9CAF-3
105240/229601cfddfa40d40c43o,2,1,2,multiple_wdc_entities_for_same_code,10.5240/2296-01CF-DDFA-40D4-0C43-O,10.5240/2296-01CF-DDFA-40D4-0C43-O
105240/21a6ed2aa2c0619a97464,2,1,2,multiple_wdc_entities_for_same_code,10.5240/21A6-ED2A-A2C0-619A-9746-4,10.5240/21A6-ED2A-A2C0-619A-9746-4
105240/15b695bb3742fea9e4676,2,1,2,multiple_wdc_entities_for_same_code,10.5240/15B6-95BB-3742-FEA9-E467-6,10.5240/15B6-95BB-3742-FEA9-E467-6
105240/15677bc924c701d45396j,2,1,2,multiple_wdc_entities_for_same_code,10.5240/1567-7BC9-24C7-01D4-5396-J,10.5240/1567-7BC9-24C7-01D4-5396-J
105240/11eb711b4b0794a4a7c6e,2,1,2,multiple_wdc_entities_for_same_code,10.5240/11EB-711B-4B07-94A4-A7C6-E,10.5240/11EB-711B-4B07-94A4-A7C6-E
105240/0ebe34d296af26a9c38di,2,1,2,multiple_wdc_entities_for_same_code,10.5240/0EBE-34D2-96AF-26A9-C38D-I,10.5240/0EBE-34D2-96AF-26A9-C38D-I
105240/0c7dc5c4eaaa97ec1c242,2,1,2,multiple_wdc_entities_for_same_code,10.5240/0C7D-C5C4-EAAA-97EC-1C24-2,10.5240/0C7D-C5C4-EAAA-97EC-1C24-2
105240/090065f78aa2d9779398b,2,1,2,multiple_wdc_entities_for_same_code,10.5240/0900-65F7-8AA2-D977-9398-B,10.5240/0900-65F7-8AA2-D977-9398-B
