phone_normalized,wdc_subject_count,sample_raw_values,sample_subjects
0473381853,22,0473381853,<https://ville-data.com/musee/Blanzat-63-63042#Musee-Mandet-11> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Musee-Mandet-17> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-Mandet-1>
0492214778,22,0492214778,<https://ville-data.com/musee/Avancon-5-05011#Du-vent-dans-les-plumes--Le-Refuge-des-animaux-9> | <https://ville-data.com/musee/Avancon-5-05011#Musee-de-la-faune-de-Saint-Leger-les-Melezes-10> | <https://ville-data.com/musee/Chabottes-5-05029#Du-vent-dans-les-plumes--Le-Refuge-des-animaux-1>
0492559119,22,0492559119,<https://ville-data.com/musee/Avancon-5-05011#Musee-du-moulin-13> | <https://ville-data.com/musee/Avancon-5-05011#Visite-de-l-ecole-d-autrefois-12> | <https://ville-data.com/musee/Chabottes-5-05029#Musee-du-moulin-4>
4402079422000,21,+44 (0)20 7942 2000,_:n6520fa753c0748eaa931e9a7defcf302xb0 | _:nc72dce2f415e450a9820d2ce1ab376bfxb0 | _:n18691b789f674127b8f5d67548c5ca5cxb0
494511224340,21,+49 451 122 4340,_:nf51d39f92fe34f01aef152be9b7fb924xb0 | _:ne1f69134ee34437ea5426e2750ee90b0xb0 | _:ndcdd0c5f9f344ecb9f87a9b15d3ff7dbxb0
32071435810,20,+32 (0)7 143 58 10,_:node1ifdvknm8x10636924 | _:node1ifd0kg1dx18436384 | _:node1ifelqf22x3490991
01760721230,18,01760 721230,_:n6f8b0b026184414d922a4a3cccedfd85xb0 | _:n544f7fb931ef4b46afa89ccf4b6b9b4cxb0 | _:n1b500332db8c4ca19118bd384828737exb0
0473381731,18,0473381731,<https://ville-data.com/musee/Blanzat-63-63042#Musee-regional-d-Auvergne-13> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Musee-regional-d-Auvergne-16> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-regional-d-Auvergne-3>
0492545811,18,0492545811,<https://ville-data.com/musee/Avancon-5-05011#Espace-EDF-Odysselec-Maison-de-l-eau-et-des-energies-de-Serre-Poncon-5> | <https://ville-data.com/musee/Avancon-5-05011#Maison-de-l-Eau-et-des-energies-EDF-du-Barrage-de-Serre-Poncon-6> | <https://ville-data.com/musee/Chabottes-5-05029#Espace-EDF-Odysselec-Maison-de-l-eau-et-des-energies-de-Serre-Poncon-16>
0473335733,17,0473335733,<https://ville-data.com/musee/Blanzat-63-63042#Musee-Marcel-Sahut-2> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Musee-Marcel-Sahut-6> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-Marcel-Sahut-4>
32064278727,17,+32 (0)6 427 87 27,_:node1ifdvb4akx13205771 | _:node1ifenc6gjx1054939 | _:node1ifdvb51kx10769621
32064212193,16,+32 (0)6 421 21 93,_:node1ifd3sa41x23064782 | _:node1ifeetri3x23435444 | _:node1ifd90tb5x1057433
32082223616,16,+32 (0)8 222 36 16,_:node1ife6ul2ox999405 | _:node1ifenccmcx3566190 | _:node1ifd3s65ex13807223
43051259489313,16,+43 (0)512/594 89 313,_:nd96c369e857041fcbfcd1bea91026634xb1 | _:n9e87b9f48ebd4bdbbc3c01e29d2cd217xb1 | _:n44ba78f377f648a9a0b6f14502ebd49exb1
0473382629,15,0473382629,<https://ville-data.com/musee/Blanzat-63-63042#Petit-Musee-de-l-Objet-Quotidien-10> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Petit-Musee-de-l-Objet-Quotidien-11> | <https://ville-data.com/musee/Chateaugay-63-63099#Petit-Musee-de-l-Objet-Quotidien-2>
494511224134,15,+49 451 1224134,_:n5b387f73ed894adc8c35fdccf332c48exb0 | _:n69b05c24c59d4787b32388995c8d4abcxb0 | _:nde83d7d7e9a546f2ae2a27381a02f59exb0
995xxxxxxxxx,15,995 XXXXXXXXX,_:node1ifddse09x693860 | _:node1ifd0kemsx18479807 | _:node1ifgc6oiux684217
0473423180,13,0473423180,<https://ville-data.com/musee/Blanzat-63-63042#Hotel-Fontfreyde--Centre-photographique-3> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Hotel-Fontfreyde--Centre-photographique-19> | <https://ville-data.com/musee/Chateaugay-63-63099#Hotel-Fontfreyde--Centre-photographique-7>
0473630951622084987,13,0473630951||622084987,<https://ville-data.com/musee/Blanzat-63-63042#Musee-de-la-Moto-Andre-Baster-12> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-de-la-Moto-Andre-Baster-0> | <https://ville-data.com/musee/Durtol-63-63141#Musee-de-la-Moto-Andre-Baster-16>
0667922436,13,0667922436,<https://ville-data.com/musee/Blanzat-63-63042#Teddy-s-Auvergne-Musee-du-Jouet-16> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Teddy-s-Auvergne-Musee-du-Jouet-7> | <https://ville-data.com/musee/Chateaugay-63-63099#Teddy-s-Auvergne-Musee-du-Jouet-10>
0812537587,13,0812537587 |  0812537587 ,_:n6c7a082b459d4c459a59af84e53ff737xb0 | _:ne30d5f33d29943989b11f6c1b7486232xb0 | _:n665bb4e5172a499e9824785494c7e2dcxb0
32081346499,13,+32 (0)8 134 64 99,_:node1iff9tdf4x28463724 | _:node1ifenc9c7x1023442 | _:node1ifd0kbemx20735290
494511224195,13,+49 451 122 4195,_:ncdae27d3b5544ce3832f4907c03811a1xb0 | _:na4f72d3c16434ea19bbaf0663f6c7ca4xb0 | _:n9c0a152311864fb78d98d99e2a1878c1xb0
0443762550,12,0443762550,<https://ville-data.com/musee/Blanzat-63-63042#Musee-Bargoin-8> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-Bargoin-13> | <https://ville-data.com/musee/Clermont-Ferrand-63-63113#Musee-Bargoin-2>
0443762560,12,0443762560,<https://ville-data.com/musee/Blanzat-63-63042#Museum-Henri-Lecoq-7> | <https://ville-data.com/musee/Chateaugay-63-63099#Museum-Henri-Lecoq-12> | <https://ville-data.com/musee/Clermont-Ferrand-63-63113#Museum-Henri-Lecoq-1>
0473639914,12,0473639914,<https://ville-data.com/musee/Blanzat-63-63042#Musee-des-Chantiers-de-Jeunesse-17> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Musee-des-Chantiers-de-Jeunesse-8> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-des-Chantiers-de-Jeunesse-11>
0473986060,12,0473986060,<https://ville-data.com/musee/Blanzat-63-63042#L-Aventure-Michelin-0> | <https://ville-data.com/musee/Chateaugay-63-63099#L-Aventure-Michelin-6> | <https://ville-data.com/musee/Clermont-Ferrand-63-63113#L-Aventure-Michelin-4>
0492440961492559572,12,0492440961;492559572,<https://ville-data.com/musee/Avancon-5-05011#Maison-de-la-photographie-Vivian-Maier-16> | <https://ville-data.com/musee/Chabottes-5-05029#Maison-de-la-photographie-Vivian-Maier-6> | <https://ville-data.com/musee/Jarjayes-5-05068#Maison-de-la-photographie-Vivian-Maier-15>
0492521387,12,0492521387,<https://ville-data.com/musee/Avancon-5-05011#Cinematheque-d-Images-de-Montagne-2> | <https://ville-data.com/musee/Chabottes-5-05029#Cinematheque-d-Images-de-Montagne-7> | <https://ville-data.com/musee/Jarjayes-5-05068#Cinematheque-d-Images-de-Montagne-2>
0492525020,12,0492525020,<https://ville-data.com/musee/Avancon-5-05011#La-galerie-du-theatre-3> | <https://ville-data.com/musee/Chabottes-5-05029#La-galerie-du-theatre-9> | <https://ville-data.com/musee/Jarjayes-5-05068#La-galerie-du-theatre-1>
0608244064,12,0608244064,<https://ville-data.com/musee/Avancon-5-05011#Ecomusee-de-l-artisanat-des-Hautes-Alpes-7> | <https://ville-data.com/musee/Chabottes-5-05029#Ecomusee-de-l-artisanat-des-Hautes-Alpes-8> | <https://ville-data.com/musee/Jarjayes-5-05068#Ecomusee-de-l-artisanat-des-Hautes-Alpes-3>
31205705200,12,+31 20 570 5200 | +31 205 705 200,_:node1ifelq5n1x2532914 | _:node1ifeu97v0x36148842 | _:node1ifd0ki4dx2320860
32043619419,12,+32 (0)4 361 94 19,_:node1ifd3se4gx13303173 | _:node1ifelpvajx3541269 | _:node1ifd90tb5x1057607
43051259489611,12,+43 (0)512/594 89 611,_:nc108506adfc14244ac9e665b0e3dd9aexb1 | _:n6921f5c0b7c14820b86f04379aa3e22bxb1 | _:nba9dce2f68e14edda3bddd163a25a5bbxb1
494511224137kasse,12,+ 49 451  122 41 37 (Kasse),_:nb4f0af3eb5de412d80c53ad8aa3537a2xb0 | _:nff2440b13a9646fe8c18385507bc5937xb0 | _:n3874b055dbc84d18aacde3d6b446aef6xb0
845596181,12,(8 45) 59 61 81 | 845596181,_:node1ifefhj0bx25054900 | _:node1ifed7hogx3779208 | _:node1ifeamff3x21843814
0443762331,11,0443762331,<https://ville-data.com/musee/Blanzat-63-63042#Musee-de-la-Resistance-de-l-Internement-et-de-la-Deportation-5> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Musee-de-la-Resistance-de-l-Internement-et-de-la-Deportation-18> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-de-la-Resistance-de-l-Internement-et-de-la-Deportation-9>
0443762525,11,0443762525,<https://ville-data.com/musee/Blanzat-63-63042#Musee-d-art-Roger-Quilliot-MARQ-Clermont-Auvergne-Metropole-1> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-d-art-Roger-Quilliot-MARQ-Clermont-Auvergne-Metropole-5> | <https://ville-data.com/musee/Clermont-Ferrand-63-63113#Musee-d-art-Roger-Quilliot-MARQ-Clermont-Auvergne-Metropole-3>
0473195783,11,0473195783,<https://ville-data.com/musee/Blanzat-63-63042#Espace-museal-Victor-Charreton-9> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Espace-museal-Victor-Charreton-13> | <https://ville-data.com/musee/Chateaugay-63-63099#Espace-museal-Victor-Charreton-15>
0473299818,11,0473299818,<https://ville-data.com/musee/Blanzat-63-63042#Musee-de-Royat-Les-amis-de-Royat--14> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Musee-de-Royat-Les-amis-de-Royat--15> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-de-Royat-Les-amis-de-Royat--16>
0473309722,11,0473309722,<https://ville-data.com/musee/Blanzat-63-63042#Galerie-municipale-d-art-contemporain-6> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Galerie-municipale-d-art-contemporain-14> | <https://ville-data.com/musee/Chateaugay-63-63099#Galerie-municipale-d-art-contemporain-14>
0473338300,11,0473338300,<https://ville-data.com/musee/Blanzat-63-63042#Manoir-de-Veygoux-Revivez-la-Revolution-18> | <https://ville-data.com/musee/Chapdes-Beaufort-63-63085#Manoir-de-Veygoux-Revivez-la-Revolution-3> | <https://ville-data.com/musee/Chateaugay-63-63099#Manoir-de-Veygoux-Revivez-la-Revolution-17>
0473905000,11,0473905000,<https://ville-data.com/musee/Blanzat-63-63042#FRAC-Auvergne--Fonds-regional-d-art-contemporain-4> | <https://ville-data.com/musee/Chateaugay-63-63099#FRAC-Auvergne--Fonds-regional-d-art-contemporain-8> | <https://ville-data.com/musee/Clermont-Ferrand-63-63113#FRAC-Auvergne--Fonds-regional-d-art-contemporain-5>
0492232802492559572,11,0492232802||492559572,<https://ville-data.com/musee/Avancon-5-05011#Maison-de-la-botanique-19> | <https://ville-data.com/musee/Chabottes-5-05029#Maison-de-la-botanique-10> | <https://ville-data.com/musee/Jarjayes-5-05068#Maison-de-la-botanique-18>
32081247370,11,+32 (0)8 124 73 70,_:node1iff9ijtax23008769 | _:node1ifd3s65ex10879559 | _:node1ifdtq8ghx31145923
618607896,11,618607896,_:node1ifg4slpjx22673429 | _:node1ifdvknm8x16019702 | _:node1iffv13c0x6602546
0492544060,10,0492544060,<https://ville-data.com/musee/Avancon-5-05011#APILAND-NATURE-Le-Naturoparc-1> | <https://ville-data.com/musee/Chabottes-5-05029#APILAND-NATURE-Le-Naturoparc-13> | <https://ville-data.com/musee/Jarjayes-5-05068#APILAND-NATURE-Le-Naturoparc-4>
0492545000,10,0492545000,<https://ville-data.com/musee/Avancon-5-05011#Museoscope-du-Lac-4> | <https://ville-data.com/musee/Chabottes-5-05029#Museoscope-du-Lac-14> | <https://ville-data.com/musee/Jarjayes-5-05068#Museoscope-du-Lac-5>
18003331010,10,+18003331010,_:n078d8c9157d1405e913e6f2a619dae62xb2 | _:n0879b4b2cd3243a7b0b6b0f8a0ff5322xb2 | _:n25f6d53339754c5da20c32b9cb3f42f2xb2
32010474841,10,+32 (0)10 47 48 41,_:node1ifdq5v8gx25244557 | _:node1ifelq7k7x3639919 | _:node1ifd8th5ax1025870
32060391500,10,+32 (0)6 039 15 00,_:node1iffkp69rx3452602 | _:node1iffnmitpx3606041 | _:node1ifdq5sh3x27939036
32081776754,10,+32 (0)8 177 67 54,_:node1iffmbi9ax1022771 | _:node1ife1qitux5817062 | _:node1iffedhimx13364716
34900823926,10,+34 900 823 926,_:n23ced058030048159c4d885087df21cdxb0 | _:n41ece5ae1ac24267ad721206da9ade5cxb2 | _:n626cf3fd5521481aae2f071e09d421fcxb0
928553043,10,928 55 30 43,_:node1ifg4slpjx22673447 | _:node1ifdvknm8x16019714 | _:node1iffv13c0x6602576
0492496185,9,0492496185,<https://ville-data.com/musee/Avancon-5-05011#Maison-du-Berger-17> | <https://ville-data.com/musee/Chabottes-5-05029#Maison-du-Berger-5> | <https://ville-data.com/musee/La-Batie-Neuve-5-05017#Maison-du-Berger-15>
0651563930749825819,9,0651563930;749825819,<https://ville-data.com/musee/Avancon-5-05011#Maison-du-Vigneron--Musee-viticole-0> | <https://ville-data.com/musee/Chabottes-5-05029#Maison-du-Vigneron--Musee-viticole-12> | <https://ville-data.com/musee/Jarjayes-5-05068#Maison-du-Vigneron--Musee-viticole-0>
32022247437,9,+32 (0)2 224 74 37,_:node1ife3rggox959678 | _:node1ifdsq2hgx15815965 | _:node1ifebbknix33309494
320470672055,9,+32 (0)470672055,_:node1ifd0kc3vx23405780 | _:node1ifeepm5jx18576730 | _:node1ifd3s77mx13281387
32060399624,9,+32 (0)6 039 96 24,_:node1iffdmmpux11017176 | _:node1ifd45rbax13321932 | _:node1ifenc33bx5920741
32063600654,9,+32 (0)6 360 06 54,_:node1ife4g150x963205 | _:node1iffnn7ocx5879705 | _:node1ifelq1nvx3589723
32064556913,9,+32 (0)6 455 69 13,_:node1ifd4r8bax11314846 | _:node1ifd7fkalx13466231 | _:node1ife54hpux5905498
33140494814,9,+33 1 40 49 48 14 | +33 140 494 814,_:node1ifd4r5rpx11053188 | _:node1ifd0ka79x30797462 | _:node1ifebbknix19453402
3495222928,9,+34 952 22 92 8,_:node1ife3r8gux3798098 | _:node1ifg4slpjx18858797 | _:node1iff0qmv6x21292834
390474913462,9,+39 0474 913 462,_:ne230df47f4ff438ba8cd986ba0715fedxb0 | _:n05ec213a845e4381a1c835544db19709xb0 | _:n9f3b0440f7fb4818a5fd0c2d1697a869xb0
0288463700,8,02.88463700 |  02.88463700,_:n07854d8f20634c1a849b73e5a3ccfaa5xb0 | _:n941c82a081a346f4a1e106db139adcf7xb0 | _:nca749ad658164703b19b48dba53dfe09xb0
0473889431,8,0473889431,<https://ville-data.com/musee/Chapdes-Beaufort-63-63085#La-Ruche-des-Puys-2> | <https://ville-data.com/musee/Durtol-63-63141#La-Ruche-des-Puys-17> | <https://ville-data.com/musee/Enval-63-63150#La-Ruche-des-Puys-12>
13124433600,8,+13124433600,_:node1ifdu5lv2x1685941 | _:node1ifeamn0qx11643840 | _:node1ifebbn59x19038817
2125959533,8,212-595-9533,_:node1ifdqdq05x3014739 | _:node1ifencamgx7985891 | _:node1ife8pibix48699362
32042754975,8,+32 (0)4 275 49 75,_:node1ifd0kkf2x21738918 | _:node1ifenc54px1031033 | _:node1ifdq5j97x27992496
32065613915,8,+32 (0)6 561 39 15,_:node1ifffqbulx11058736 | _:node1ifenc7qsx1037061 | _:node1ifd0kd07x23564074
902760511,8,902 76 05 11,_:node1iffcqna7x1618236 | _:node1iffv0rtlx4725339 | _:node1ifd0usbax9967587
ntttttttttttttt4356274525ttttttttttttt,8,\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t(435) 627-4525\t\t\t\t\t\t\t\t\t\t\t\t\t,_:node1ifed8c6ax25551548 | _:node1iff0qvkmx721362 | _:node1ifdq5fm4x687259
telefon972364454,8,Telèfon : 972364454 | Telèfon : 972 364454,_:node1ifencfsix24230095 | _:node1ifernnh9x8433777 | _:node1ifev9uoex1170095
0473983595,7,0473983595,<https://ville-data.com/musee/Blanzat-63-63042#Musee-de-la-vigne-et-du-vin-de-Basse-Auvergne-15> | <https://ville-data.com/musee/Chateaugay-63-63099#Musee-de-la-vigne-et-du-vin-de-Basse-Auvergne-18> | <https://ville-data.com/musee/Durtol-63-63141#Musee-de-la-vigne-et-du-vin-de-Basse-Auvergne-10>
0492442694662925594,7,0492442694;662925594,<https://ville-data.com/musee/Avancon-5-05011#Musee-de-l-Ecole-d-Antan-11> | <https://ville-data.com/musee/Chabottes-5-05029#Musee-de-l-Ecole-d-Antan-15> | <https://ville-data.com/musee/Jarjayes-5-05068#Musee-de-l-Ecole-d-Antan-11>
0492508889,7,0492508889,<https://ville-data.com/musee/Avancon-5-05011#CIAP--XXe-14> | <https://ville-data.com/musee/Chabottes-5-05029#CIAP--XXe-18> | <https://ville-data.com/musee/Jarjayes-5-05068#CIAP--XXe-16>
0492556258661722348,7,0492556258;661722348,<https://ville-data.com/musee/Chabottes-5-05029#Musee-de-la-Casse-11> | <https://ville-data.com/musee/La-Batie-Neuve-5-05017#Musee-de-la-Casse-17> | <https://ville-data.com/musee/La-Batie-Vieille-5-05018#Musee-de-la-Casse-19>
0492589832665774189,7,0492589832;665774189,<https://ville-data.com/musee/Jarjayes-5-05068#Ecomusee-du-Cheminot-Veynois-19> | <https://ville-data.com/musee/La-Freissinouse-5-05059#Ecomusee-du-Cheminot-Veynois-5> | <https://ville-data.com/musee/Le-Noyer-5-05095#Ecomusee-du-Cheminot-Veynois-15>
0881514900,7,0881514900,_:nb75a6a96826845a99c530203c6c3a442xb0 | _:nc1713a658afd4022b0d0d500b8977c2cxb0 | _:nb4a7534512c9484ba73add680a15ae06xb0
0912712061,7,0912712061,_:n9093157fb90b4d2d87243fc0567bb497xb0 | _:n19b6f3588b434e089da9f8b3727d8d76xb0 | _:ne76e9f77d5fc45898d3f99966a642b5bxb0
32025004554,7,+32 (0)2 500 45 54,_:node1ifd0kmplx33341166 | _:node1iff9ihi2x23131093 | _:node1iff9j04px18356780
32043665021,7,+32 (0)4 366 50 21,_:node1ifgj86p1x3690906 | _:node1iffc3561x8283699 | _:node1ifdua468x13711350
32060390243,7,+32 (0)6 039 02 43,_:node1ifeeptdax20880481 | _:node1ifencck0x1043836 | _:node1ifenc209x1060786
32064282000,7,+32 (0)6 428 20 00,_:node1ifenc7cnx987260 | _:node1ifd4giv2x10878025 | _:node1ifd3s8n8x11089159
32068332403,7,+32 (0)6 833 24 03,_:node1iffdmiprx5981134 | _:node1ife5bqlcx50546752 | _:node1ifflgo50x8437834
32068681320,7,+32 (0)6 868 13 20,_:node1ifd4gjigx10237601 | _:node1ife4g4erx974342 | _:node1ifenc4gqx1043752
32080880878,7,+32 (0)8 088 08 78,_:node1ifdllgvcx40745735 | _:node1iffm97c3x1015336 | _:node1iffhefk5x995010
32081776755,7,+32 (0)8 177 67 55,_:node1ifghjajhx19681139 | _:node1iffb9k3tx20949432 | _:node1ifd45ralx13227640
33xxxxxxxxx,7,33 XXXXXXXXX,_:node1ifdcf2mux23117753 | _:node1ifdnm2hex3142877 | _:node1iferngt4x7934082
