eidr_normalized,wdc_count,wikidata_count,pairs_count,is_problematic,sample_wdc_value
105240/60b738494ceb99d95382s,2,1,2,1,10.5240/60B7-3849-4CEB-99D9-5382-S
105240/5954c921c67753c110f9g,2,1,2,1,10.5240/5954-C921-C677-53C1-10F9-G
105240/4e5878536b0f88a29c65m,2,1,2,1,10.5240/4E58-7853-6B0F-88A2-9C65-M
105240/4aedb282ce41d47d461d8,2,1,2,1,10.5240/4AED-B282-CE41-D47D-461D-8
105240/47f844a5c97f86b904ffn,2,1,2,1,10.5240/47F8-44A5-C97F-86B9-04FF-N
105240/40db0a54275db1f11bbei,2,1,2,1,10.5240/40DB-0A54-275D-B1F1-1BBE-I
105240/3d98977893ce183f1fbcy,2,1,2,1,10.5240/3D98-9778-93CE-183F-1FBC-Y
105240/3b9f7d0d9c2ceadf7ad3w,2,1,2,1,10.5240/3B9F-7D0D-9C2C-EADF-7AD3-W
105240/3b13acb5e0807b6ddf7ev,2,1,2,1,10.5240/3B13-ACB5-E080-7B6D-DF7E-V
105240/37b5ecb98e1a98901f4d2,2,1,2,1,10.5240/37B5-ECB9-8E1A-9890-1F4D-2
105240/2b72af596f1d045265f4i,2,1,2,1,10.5240/2B72-AF59-6F1D-0452-65F4-I
105240/2a9a64b20dbb25d0f53fx,2,1,2,1,10.5240/2A9A-64B2-0DBB-25D0-F53F-X
105240/26feae936b1c564549f9t,2,1,2,1,10.5240/26FE-AE93-6B1C-5645-49F9-T
105240/24db42b239f6621513991,2,1,2,1,10.5240/24DB-42B2-39F6-6215-1399-1
105240/249de76f7e61b4989caf3,2,1,2,1,10.5240/249D-E76F-7E61-B498-9CAF-3
105240/229601cfddfa40d40c43o,2,1,2,1,10.5240/2296-01CF-DDFA-40D4-0C43-O
105240/21a6ed2aa2c0619a97464,2,1,2,1,10.5240/21A6-ED2A-A2C0-619A-9746-4
105240/15b695bb3742fea9e4676,2,1,2,1,10.5240/15B6-95BB-3742-FEA9-E467-6
105240/15677bc924c701d45396j,2,1,2,1,10.5240/1567-7BC9-24C7-01D4-5396-J
105240/11eb711b4b0794a4a7c6e,2,1,2,1,10.5240/11EB-711B-4B07-94A4-A7C6-E
105240/0ebe34d296af26a9c38di,2,1,2,1,10.5240/0EBE-34D2-96AF-26A9-C38D-I
105240/0c7dc5c4eaaa97ec1c242,2,1,2,1,10.5240/0C7D-C5C4-EAAA-97EC-1C24-2
105240/090065f78aa2d9779398b,2,1,2,1,10.5240/0900-65F7-8AA2-D977-9398-B
105240/fff095b58628b472e3264,1,1,1,0,10.5240/FFF0-95B5-8628-B472-E326-4
105240/ffdf5c4b9421417fb40bu,1,1,1,0,10.5240/FFDF-5C4B-9421-417F-B40B-U
105240/ff9e0aee063df5608130n,1,1,1,0,10.5240/FF9E-0AEE-063D-F560-8130-N
105240/ff84d52e25238d49142dp,1,1,1,0,10.5240/FF84-D52E-2523-8D49-142D-P
105240/ff77c26d98e95ff3f13c1,1,1,1,0,10.5240/FF77-C26D-98E9-5FF3-F13C-1
105240/ff592dd4e6c5d715d9778,1,1,1,0,10.5240/FF59-2DD4-E6C5-D715-D977-8
105240/ff33761e5c70ec46dea5n,1,1,1,0,10.5240/FF33-761E-5C70-EC46-DEA5-N
105240/ff1f8bbfb72ecb9b90e9u,1,1,1,0,10.5240/FF1F-8BBF-B72E-CB9B-90E9-U
105240/fef2e07dec8e24baef46g,1,1,1,0,10.5240/FEF2-E07D-EC8E-24BA-EF46-G
105240/fecc9460ae4783102a62m,1,1,1,0,10.5240/FECC-9460-AE47-8310-2A62-M
105240/fe1cb18f2f52df528d9a2,1,1,1,0,10.5240/FE1C-B18F-2F52-DF52-8D9A-2
105240/fdfcb057361b0ee55243w,1,1,1,0,10.5240/FDFC-B057-361B-0EE5-5243-W
105240/fdbfdb4ecf9f7be805540,1,1,1,0,10.5240/FDBF-DB4E-CF9F-7BE8-0554-0
105240/fd747b266e7cb8ecf4d8t,1,1,1,0,10.5240/FD74-7B26-6E7C-B8EC-F4D8-T
105240/fd0e880d5ed43ab21c53g,1,1,1,0,10.5240/FD0E-880D-5ED4-3AB2-1C53-G
105240/fce5be9373f4666eb9620,1,1,1,0,10.5240/FCE5-BE93-73F4-666E-B962-0
105240/fcc910cfeada1af485fdk,1,1,1,0,10.5240/FCC9-10CF-EADA-1AF4-85FD-K
105240/fcab665314ff6f5cedafm,1,1,1,0,10.5240/FCAB-6653-14FF-6F5C-EDAF-M
105240/fca69cccd328da0678abe,1,1,1,0,10.5240/FCA6-9CCC-D328-DA06-78AB-E
105240/fc9e16f17fa359a6deacz,1,1,1,0,10.5240/FC9E-16F1-7FA3-59A6-DEAC-Z
105240/fc916196b50a4e088df2k,1,1,1,0,10.5240/FC91-6196-B50A-4E08-8DF2-K
105240/fc75cb795efed7e6b6f7n,1,1,1,0,10.5240/FC75-CB79-5EFE-D7E6-B6F7-N
105240/fc70b2913d16232f79aat,1,1,1,0,10.5240/FC70-B291-3D16-232F-79AA-T
105240/fc3b0fbfc50cd98584aea,1,1,1,0,10.5240/FC3B-0FBF-C50C-D985-84AE-A
105240/fc0061732466f8006978l,1,1,1,0,10.5240/FC00-6173-2466-F800-6978-L
105240/fb7e3b4ee56bb8988cd0b,1,1,1,0,10.5240/FB7E-3B4E-E56B-B898-8CD0-B
105240/fb5ca8d02e8ce666ca8bc,1,1,1,0,10.5240/FB5C-A8D0-2E8C-E666-CA8B-C
105240/fac85410e2d80855a37f2,1,1,1,0,10.5240/FAC8-5410-E2D8-0855-A37F-2
105240/fa52c2fe11f323cb99dcv,1,1,1,0,10.5240/FA52-C2FE-11F3-23CB-99DC-V
105240/fa43e83a2b8558291432s,1,1,1,0,10.5240/FA43-E83A-2B85-5829-1432-S
105240/fa417cbb01232be073c0y,1,1,1,0,10.5240/FA41-7CBB-0123-2BE0-73C0-Y
105240/fa3a7415141b1e24b0be7,1,1,1,0,10.5240/FA3A-7415-141B-1E24-B0BE-7
105240/f9cc338a19e4b99f69abq,1,1,1,0,10.5240/F9CC-338A-19E4-B99F-69AB-Q
105240/f9a65bc17f5ae8c1fec8d,1,1,1,0,10.5240/F9A6-5BC1-7F5A-E8C1-FEC8-D
105240/f9a1b47baa370c3226998,1,1,1,0,10.5240/F9A1-B47B-AA37-0C32-2699-8
105240/f93dad708c421510ab316,1,1,1,0,10.5240/F93D-AD70-8C42-1510-AB31-6
105240/f8d4c712b8357237b914z,1,1,1,0,10.5240/F8D4-C712-B835-7237-B914-Z
105240/f8340a64da813622a80fk,1,1,1,0,10.5240/F834-0A64-DA81-3622-A80F-K
105240/f7871e750c86697c4f9el,1,1,1,0,10.5240/F787-1E75-0C86-697C-4F9E-L
105240/f773ffff243a7e08691ac,1,1,1,0,10.5240/F773-FFFF-243A-7E08-691A-C
105240/f6df729c9d9296464171j,1,1,1,0,10.5240/F6DF-729C-9D92-9646-4171-J
105240/f68d47440f23f920f20fs,1,1,1,0,10.5240/F68D-4744-0F23-F920-F20F-S
105240/f6483c8b458e824c956dn,1,1,1,0,10.5240/F648-3C8B-458E-824C-956D-N
105240/f62c338d3091641b1d2cj,1,1,1,0,10.5240/F62C-338D-3091-641B-1D2C-J
105240/f605ebd11d292d7dbe289,1,1,1,0,10.5240/F605-EBD1-1D29-2D7D-BE28-9
105240/f5f45f2fa86a4a9da1d9c,1,1,1,0,10.5240/F5F4-5F2F-A86A-4A9D-A1D9-C
105240/f5f29ff7732e0cd3331ek,1,1,1,0,10.5240/F5F2-9FF7-732E-0CD3-331E-K
105240/f554245119e4721aa68cp,1,1,1,0,10.5240/F554-2451-19E4-721A-A68C-P
105240/f5519af749af9cffbbd6x,1,1,1,0,10.5240/F551-9AF7-49AF-9CFF-BBD6-X
105240/f4507eceb3a40bd83d38x,1,1,1,0,10.5240/F450-7ECE-B3A4-0BD8-3D38-X
105240/f4303b87ff8120be970bw,1,1,1,0,10.5240/F430-3B87-FF81-20BE-970B-W
105240/f412bda3b9d2ccb395f2c,1,1,1,0,10.5240/F412-BDA3-B9D2-CCB3-95F2-C
105240/f376a62bda0d0fc7ae9fh,1,1,1,0,10.5240/F376-A62B-DA0D-0FC7-AE9F-H
105240/f359d19080a643b29b808,1,1,1,0,10.5240/F359-D190-80A6-43B2-9B80-8
105240/f33dfcf0a120a35204db9,1,1,1,0,10.5240/F33D-FCF0-A120-A352-04DB-9
105240/f330050bdd1eaed3a1db5,1,1,1,0,10.5240/F330-050B-DD1E-AED3-A1DB-5
105240/f318f645f2dfa63c036br,1,1,1,0,10.5240/F318-F645-F2DF-A63C-036B-R
105240/f3122a003d339b4551dea,1,1,1,0,10.5240/F312-2A00-3D33-9B45-51DE-A
105240/f310580d7aa9daa3437ft,1,1,1,0,10.5240/F310-580D-7AA9-DAA3-437F-T
105240/f2aeaa3c5e5df65de781z,1,1,1,0,10.5240/F2AE-AA3C-5E5D-F65D-E781-Z
105240/f2877316c9ce9a8a9ad0r,1,1,1,0,10.5240/F287-7316-C9CE-9A8A-9AD0-R
105240/f27a5e7a4c4fd54f47280,1,1,1,0,10.5240/F27A-5E7A-4C4F-D54F-4728-0
105240/f2330a7e31ce4eb1f39bi,1,1,1,0,10.5240/F233-0A7E-31CE-4EB1-F39B-I
105240/f18b449a1d18b3ec2207s,1,1,1,0,10.5240/F18B-449A-1D18-B3EC-2207-S
105240/f126cfd78d68b0068a56w,1,1,1,0,10.5240/F126-CFD7-8D68-B006-8A56-W
105240/f0d679e0ef443f30a314o,1,1,1,0,10.5240/F0D6-79E0-EF44-3F30-A314-O
105240/f058ee1cce15095992d8o,1,1,1,0,10.5240/F058-EE1C-CE15-0959-92D8-O
105240/f040662a915f284a18fct,1,1,1,0,10.5240/F040-662A-915F-284A-18FC-T
105240/f01125f617b3d57e64492,1,1,1,0,10.5240/F011-25F6-17B3-D57E-6449-2
105240/efe8d9ccb5cb0d9c898f4,1,1,1,0,10.5240/EFE8-D9CC-B5CB-0D9C-898F-4
105240/ef8ac181551bb962dc37v,1,1,1,0,10.5240/EF8A-C181-551B-B962-DC37-V
105240/ef756e52d1d39430c329d,1,1,1,0,10.5240/EF75-6E52-D1D3-9430-C329-D
105240/ef3a9da560bb3a1c7f061,1,1,1,0,10.5240/EF3A-9DA5-60BB-3A1C-7F06-1
105240/ef119b27bf3a4a47172co,1,1,1,0,10.5240/EF11-9B27-BF3A-4A47-172C-O
105240/eefe61a7116380ed5c58h,1,1,1,0,10.5240/EEFE-61A7-1163-80ED-5C58-H
105240/eebf218595b9e2c807b6k,1,1,1,0,10.5240/EEBF-2185-95B9-E2C8-07B6-K
105240/ee981e42d447a8b5d1c9t,1,1,1,0,10.5240/EE98-1E42-D447-A8B5-D1C9-T
105240/ee6b8f5bdb25734c21a87,1,1,1,0,10.5240/EE6B-8F5B-DB25-734C-21A8-7
105240/ee513fc1b324920c88ddj,1,1,1,0,10.5240/EE51-3FC1-B324-920C-88DD-J
105240/edd7f49028ad477bc069y,1,1,1,0,10.5240/EDD7-F490-28AD-477B-C069-Y
105240/ed8792b74de4cd7ef8c1u,1,1,1,0,10.5240/ED87-92B7-4DE4-CD7E-F8C1-U
105240/ed55b96c8fed05c1daf8w,1,1,1,0,10.5240/ED55-B96C-8FED-05C1-DAF8-W
105240/ecdfc089a0c3fb0a044fb,1,1,1,0,10.5240/ECDF-C089-A0C3-FB0A-044F-B
105240/ecb39302264e9ea74dfee,1,1,1,0,10.5240/ECB3-9302-264E-9EA7-4DFE-E
105240/ec87ec703b94a5730dd5v,1,1,1,0,10.5240/EC87-EC70-3B94-A573-0DD5-V
105240/ec6cfb786270b7c3dab2l,1,1,1,0,10.5240/EC6C-FB78-6270-B7C3-DAB2-L
105240/ec1d36d0be84dce5ac730,1,1,1,0,10.5240/EC1D-36D0-BE84-DCE5-AC73-0
105240/ec1c93760f437f2201d94,1,1,1,0,10.5240/EC1C-9376-0F43-7F22-01D9-4
105240/ec0c7dad65748a950296v,1,1,1,0,10.5240/EC0C-7DAD-6574-8A95-0296-V
105240/ec0a262ce3baf2d0886d7,1,1,1,0,10.5240/EC0A-262C-E3BA-F2D0-886D-7
105240/ebcfdbac02a874c82cd98,1,1,1,0,10.5240/EBCF-DBAC-02A8-74C8-2CD9-8
105240/ebc12b7fe56d8f133e70w,1,1,1,0,10.5240/EBC1-2B7F-E56D-8F13-3E70-W
105240/ebaf1f09e9a2ea34f24bn,1,1,1,0,10.5240/EBAF-1F09-E9A2-EA34-F24B-N
105240/eb990bdb548857870c85i,1,1,1,0,10.5240/EB99-0BDB-5488-5787-0C85-I
105240/eaf1c59ba8ade0547b42i,1,1,1,0,10.5240/EAF1-C59B-A8AD-E054-7B42-I
105240/eaef7f470bb0b496c5871,1,1,1,0,10.5240/EAEF-7F47-0BB0-B496-C587-1
105240/eac64fc24637b514e927y,1,1,1,0,10.5240/EAC6-4FC2-4637-B514-E927-Y
105240/ea866558cf8fd8e7b6dam,1,1,1,0,10.5240/EA86-6558-CF8F-D8E7-B6DA-M
105240/e9f5e1c287ba1ccdc859l,1,1,1,0,10.5240/E9F5-E1C2-87BA-1CCD-C859-L
105240/e912a1dd669c649321324,1,1,1,0,10.5240/E912-A1DD-669C-6493-2132-4
105240/e8a6c2eb07665bbd8374k,1,1,1,0,10.5240/E8A6-C2EB-0766-5BBD-8374-K
105240/e882672ae05c3c1beba1p,1,1,1,0,10.5240/E882-672A-E05C-3C1B-EBA1-P
105240/e86e286f2100416f19fb2,1,1,1,0,10.5240/E86E-286F-2100-416F-19FB-2
105240/e848818c318ce42b658a3,1,1,1,0,10.5240/E848-818C-318C-E42B-658A-3
105240/e81fd19cdb3d475520fea,1,1,1,0,10.5240/E81F-D19C-DB3D-4755-20FE-A
105240/e7b7785c625641c55bc5u,1,1,1,0,10.5240/E7B7-785C-6256-41C5-5BC5-U
105240/e7952b0d965a5552a4242,1,1,1,0,10.5240/E795-2B0D-965A-5552-A424-2
105240/e792f1f8da0d8b7fdd21u,1,1,1,0,10.5240/E792-F1F8-DA0D-8B7F-DD21-U
105240/e747699c6c4cc44db5285,1,1,1,0,10.5240/E747-699C-6C4C-C44D-B528-5
105240/e71edd14cbec962a3fb04,1,1,1,0,10.5240/E71E-DD14-CBEC-962A-3FB0-4
105240/e71237112eba7698f355s,1,1,1,0,10.5240/E712-3711-2EBA-7698-F355-S
105240/e6cc7932b9bf6174f8e1x,1,1,1,0,10.5240/E6CC-7932-B9BF-6174-F8E1-X
105240/e68b9fcb442ad2731003n,1,1,1,0,10.5240/E68B-9FCB-442A-D273-1003-N
105240/e66050381d8a6e09c3025,1,1,1,0,10.5240/E660-5038-1D8A-6E09-C302-5
105240/e6441f3672248a391c9f4,1,1,1,0,10.5240/E644-1F36-7224-8A39-1C9F-4
105240/e630f2032c973af81fd3b,1,1,1,0,10.5240/E630-F203-2C97-3AF8-1FD3-B
105240/e5aa0a8a7654f56cf2624,1,1,1,0,10.5240/E5AA-0A8A-7654-F56C-F262-4
105240/e5a00e8f7d34c1a0e184g,1,1,1,0,10.5240/E5A0-0E8F-7D34-C1A0-E184-G
105240/e5896469c800a97f5c521,1,1,1,0,10.5240/E589-6469-C800-A97F-5C52-1
105240/e516af535dfa74da37687,1,1,1,0,10.5240/E516-AF53-5DFA-74DA-3768-7
105240/e4febad762f128b93604n,1,1,1,0,10.5240/E4FE-BAD7-62F1-28B9-3604-N
105240/e4e89aab3b543bfb26a7p,1,1,1,0,10.5240/E4E8-9AAB-3B54-3BFB-26A7-P
105240/e487723d538bfef29927c,1,1,1,0,10.5240/E487-723D-538B-FEF2-9927-C
105240/e47627d81be9bee53a4dq,1,1,1,0,10.5240/E476-27D8-1BE9-BEE5-3A4D-Q
105240/e453c12e2d2db5448ea04,1,1,1,0,10.5240/E453-C12E-2D2D-B544-8EA0-4
105240/e39b69b2c8945452bd2fu,1,1,1,0,10.5240/E39B-69B2-C894-5452-BD2F-U
105240/e35ec9b5dc007fc8819fy,1,1,1,0,10.5240/E35E-C9B5-DC00-7FC8-819F-Y
105240/e34c9f6fe3d01f553476f,1,1,1,0,10.5240/E34C-9F6F-E3D0-1F55-3476-F
105240/e2f5d120b3ab9c4658a6v,1,1,1,0,10.5240/E2F5-D120-B3AB-9C46-58A6-V
105240/e2f0b13c7fc10941b979p,1,1,1,0,10.5240/E2F0-B13C-7FC1-0941-B979-P
105240/e2d896adbdd4afe35ce5u,1,1,1,0,10.5240/E2D8-96AD-BDD4-AFE3-5CE5-U
105240/e28bfcdb6cb7ab699a6f6,1,1,1,0,10.5240/E28B-FCDB-6CB7-AB69-9A6F-6
105240/e1f307b922cc7e4126f8m,1,1,1,0,10.5240/E1F3-07B9-22CC-7E41-26F8-M
105240/e1d50e86a340f2b32a113,1,1,1,0,10.5240/E1D5-0E86-A340-F2B3-2A11-3
105240/e1828ed06f4ec28c5352c,1,1,1,0,10.5240/E182-8ED0-6F4E-C28C-5352-C
105240/e17b99236ada4f7c78078,1,1,1,0,10.5240/E17B-9923-6ADA-4F7C-7807-8
105240/e124eed617063fa35ce3d,1,1,1,0,10.5240/E124-EED6-1706-3FA3-5CE3-D
105240/e10e61a41e6ac45fdac4w,1,1,1,0,10.5240/E10E-61A4-1E6A-C45F-DAC4-W
105240/e0d30bee058286a97ad55,1,1,1,0,10.5240/E0D3-0BEE-0582-86A9-7AD5-5
105240/e0c9738c117a5469a612w,1,1,1,0,10.5240/E0C9-738C-117A-5469-A612-W
105240/e030107bc08abf93ac79b,1,1,1,0,10.5240/E030-107B-C08A-BF93-AC79-B
105240/dfe4ac639f03bb337d510,1,1,1,0,10.5240/DFE4-AC63-9F03-BB33-7D51-0
105240/dfd6f5bb19e6979156f3y,1,1,1,0,10.5240/DFD6-F5BB-19E6-9791-56F3-Y
105240/dfbee54f0410afe07e05z,1,1,1,0,10.5240/DFBE-E54F-0410-AFE0-7E05-Z
105240/dfa36b6c784c7d824fa5f,1,1,1,0,10.5240/DFA3-6B6C-784C-7D82-4FA5-F
105240/df864a3573e124c2d57f2,1,1,1,0,10.5240/DF86-4A35-73E1-24C2-D57F-2
105240/df535e31c03d759951a4m,1,1,1,0,10.5240/DF53-5E31-C03D-7599-51A4-M
105240/df4a8edf16c8e5c7deef9,1,1,1,0,10.5240/DF4A-8EDF-16C8-E5C7-DEEF-9
105240/ded025010717b4db74295,1,1,1,0,10.5240/DED0-2501-0717-B4DB-7429-5
105240/de698acec842fbf525d9n,1,1,1,0,10.5240/DE69-8ACE-C842-FBF5-25D9-N
105240/de68d81b186d3f0e7c81z,1,1,1,0,10.5240/DE68-D81B-186D-3F0E-7C81-Z
105240/de41003e988cebfa0584i,1,1,1,0,10.5240/DE41-003E-988C-EBFA-0584-I
105240/ddce93f4f3e172ab740bh,1,1,1,0,10.5240/DDCE-93F4-F3E1-72AB-740B-H
105240/ddc96741fb947c6eb00cc,1,1,1,0,10.5240/DDC9-6741-FB94-7C6E-B00C-C
105240/ddc18caa6c241e29f447b,1,1,1,0,10.5240/DDC1-8CAA-6C24-1E29-F447-B
105240/dd61b0779bf43b9e93b32,1,1,1,0,10.5240/DD61-B077-9BF4-3B9E-93B3-2
105240/dcb1db98004327c5f018x,1,1,1,0,10.5240/DCB1-DB98-0043-27C5-F018-X
105240/dcb002a694c64b7b24c4z,1,1,1,0,10.5240/DCB0-02A6-94C6-4B7B-24C4-Z
105240/dca17bb94939d8c460ff8,1,1,1,0,10.5240/DCA1-7BB9-4939-D8C4-60FF-8
105240/dc7bf2e3aca2c9fc636ay,1,1,1,0,10.5240/DC7B-F2E3-ACA2-C9FC-636A-Y
105240/dc75884cfef001fb34c5d,1,1,1,0,10.5240/DC75-884C-FEF0-01FB-34C5-D
105240/dc35339bebbaa73d2e2cf,1,1,1,0,10.5240/DC35-339B-EBBA-A73D-2E2C-F
105240/dc140edcf07f42ca1640l,1,1,1,0,10.5240/DC14-0EDC-F07F-42CA-1640-L
105240/dbb94e5b9112e55227c5o,1,1,1,0,10.5240/DBB9-4E5B-9112-E552-27C5-O
105240/dbb24537fa63b045d9a4a,1,1,1,0,10.5240/DBB2-4537-FA63-B045-D9A4-A
105240/db275590bd1173eabee3t,1,1,1,0,10.5240/DB27-5590-BD11-73EA-BEE3-T
105240/db13b4e317220d431173y,1,1,1,0,10.5240/DB13-B4E3-1722-0D43-1173-Y
105240/dadf0c94da0e776a4655l,1,1,1,0,10.5240/DADF-0C94-DA0E-776A-4655-L
105240/daa6bc79013bc9958c57m,1,1,1,0,10.5240/DAA6-BC79-013B-C995-8C57-M
105240/da86b217dc623d0b17038,1,1,1,0,10.5240/DA86-B217-DC62-3D0B-1703-8
105240/da81846c638b36edefe5f,1,1,1,0,10.5240/DA81-846C-638B-36ED-EFE5-F
105240/d998695066bb9b7cabb8i,1,1,1,0,10.5240/D998-6950-66BB-9B7C-ABB8-I
105240/d98ae7646ed732202ad8h,1,1,1,0,10.5240/D98A-E764-6ED7-3220-2AD8-H
105240/d985464f513c5b9a77edo,1,1,1,0,10.5240/D985-464F-513C-5B9A-77ED-O
105240/d96a9f3fc3cc87dda37fk,1,1,1,0,10.5240/D96A-9F3F-C3CC-87DD-A37F-K
105240/d942e6c30039e3ffd550a,1,1,1,0,10.5240/D942-E6C3-0039-E3FF-D550-A
105240/d927fead92eb517ab61c6,1,1,1,0,10.5240/D927-FEAD-92EB-517A-B61C-6
105240/d924b94c288cd570e64ei,1,1,1,0,10.5240/D924-B94C-288C-D570-E64E-I
105240/d900f5ec75f8c1696608x,1,1,1,0,10.5240/D900-F5EC-75F8-C169-6608-X
105240/d8d676ee8d606ad9d554q,1,1,1,0,10.5240/D8D6-76EE-8D60-6AD9-D554-Q
105240/d8be8e987c10a67ae673f,1,1,1,0,10.5240/D8BE-8E98-7C10-A67A-E673-F
105240/d807f437fe0b26fe8fadl,1,1,1,0,10.5240/D807-F437-FE0B-26FE-8FAD-L
105240/d80677f6f9e3ca198e4d8,1,1,1,0,10.5240/D806-77F6-F9E3-CA19-8E4D-8
105240/d77d6301d4b92a616b7cm,1,1,1,0,10.5240/D77D-6301-D4B9-2A61-6B7C-M
105240/d73436f444a46159eb993,1,1,1,0,10.5240/D734-36F4-44A4-6159-EB99-3
105240/d6faf25a04c15ad773c83,1,1,1,0,10.5240/D6FA-F25A-04C1-5AD7-73C8-3
105240/d6573c36e81ecdcb9b9bo,1,1,1,0,10.5240/D657-3C36-E81E-CDCB-9B9B-O
105240/d5e33de928988a60b71bq,1,1,1,0,10.5240/D5E3-3DE9-2898-8A60-B71B-Q
105240/d5c913425f6fdca0bc239,1,1,1,0,10.5240/D5C9-1342-5F6F-DCA0-BC23-9
105240/d5ba20e5f13442c7982bu,1,1,1,0,10.5240/D5BA-20E5-F134-42C7-982B-U
105240/d4aadaf47353b1ff42e69,1,1,1,0,10.5240/D4AA-DAF4-7353-B1FF-42E6-9
105240/d4817435ba9bf0015c0an,1,1,1,0,10.5240/D481-7435-BA9B-F001-5C0A-N
105240/d3bc69438b2d33ad70a1r,1,1,1,0,10.5240/D3BC-6943-8B2D-33AD-70A1-R
105240/d381ee4926e5f266595fp,1,1,1,0,10.5240/D381-EE49-26E5-F266-595F-P
105240/d340460877c24316c515a,1,1,1,0,10.5240/D340-4608-77C2-4316-C515-A
105240/d308b3fdceca9264ecd2k,1,1,1,0,10.5240/D308-B3FD-CECA-9264-ECD2-K
105240/d21ce63ccd1a5f9200cb5,1,1,1,0,10.5240/D21C-E63C-CD1A-5F92-00CB-5
105240/d1af732f53662d07e031u,1,1,1,0,10.5240/D1AF-732F-5366-2D07-E031-U
105240/d15a44c4e249b6f3fddc0,1,1,1,0,10.5240/D15A-44C4-E249-B6F3-FDDC-0
105240/d14e00845615a32e18566,1,1,1,0,10.5240/D14E-0084-5615-A32E-1856-6
105240/d1425ab2d1ec030b17e2a,1,1,1,0,10.5240/D142-5AB2-D1EC-030B-17E2-A
105240/d0f4f6b3fd5b7312a7516,1,1,1,0,10.5240/D0F4-F6B3-FD5B-7312-A751-6
105240/d071dc6e88ab6f904c9d4,1,1,1,0,10.5240/D071-DC6E-88AB-6F90-4C9D-4
105240/d03c5d76e6200bc9f2a7s,1,1,1,0,10.5240/D03C-5D76-E620-0BC9-F2A7-S
