phone_normalized,wdc_subject_count,sample_values,sample_subjects
2509605555,1436,2509605555 | 250-960-5555,_:n3d78685f32614be3bf2004633b8feb7dxb0 | _:n85bb85cfc7e949b98381e29e98da023cxb0 | _:nda609c660ecb41128f47ea0783a7fc90xb0 | _:ndd5747bd912c4952aae70994923d7498xb0 | _:nf81cf05c6e5b44c488fc7d4dabf764b0xb0
+4401179656261,1413,+44 (0)117 9656261,_:node1iffqq80ox25310854 | _:node1ifdm7r8hx3193066 | _:node1ifdnk6ccx5457902 | _:node1ife8p8d5x5816842 | _:node1ife8pd83x28482819
+8475783000,1315,+8475783000 | +847578-3000,_:node1ifev9u40x14968638 | _:node1iff0qmv6x9773091 | _:node1iff0qq3ox7503275 | _:node1iff53p5ax123759 | _:node1ifdbjul8x22498829
2026870100,1264,Phone: 202-687-0100 | Phone: (202) 687.0100 | \n      Phone number\n      P.\n      202-687-0100\n     | Phone: (202) 687-0100,_:node1iffoicjux2592884 | _:node1iffm9aksx275136 | _:node1iff6qi48x36618562 | _:node1ifd4q5qbx17682706 | _:node1ifd34cgsx20305906
0738205225,1259,(07) 3820 5225 ,_:n51a9c50b609244108abf7755012024bfxb1 | _:n51a9c50b609244108abf7755012024bfxb11 | _:naa702b4b98e94ae2a58ebdf19c330229xb1 | _:naa702b4b98e94ae2a58ebdf19c330229xb7 | _:nd149eb34ac85422fb195a6e30919a0e7xb0
5182766000,1152,(518) 276-6000,_:node1ifg57rg9x6737493 | _:na29daacb8e72482fa8b13645b373c5e0xb0 | _:nd643fd098877412d9167e22121e121edxb0 | _:n038acafacd52408c8066b7dc61bce89cxb0 | _:ne5ae2d407e3c4504a6db6f7e51582f8fxb0
+902462111000,1098,+ 90 (246) 211 1000,_:n57a5ce547f4640e79d870c519704d551xb0 | _:n615acdafcfc5480a84826b5d793290bbxb0 | _:na12dd598437e42baa7acb43407764784xb0 | _:nbba2308bf39446c8a69179619c849710xb0 | _:ne6d09af64ed6480aafb6e0ec6cc71069xb0
+17053249144,1013,+1-705-324-9144,_:n65cb8fd9b48a48a18b29a48a7cfc6d64xb5 | _:nbd7a10abfaa744b3a90eba4a7ff74025xb5 | _:n08d07642ae1c49948455f8b34815e49dxb5 | _:n7a07923d050f405e862f9e0a5083a03fxb5 | _:n65756f5531ab4ee89af252440849a051xb5
+17053726865,1013,+1-705-372-6865,_:n65cb8fd9b48a48a18b29a48a7cfc6d64xb9 | _:nbd7a10abfaa744b3a90eba4a7ff74025xb9 | _:n08d07642ae1c49948455f8b34815e49dxb9 | _:n7a07923d050f405e862f9e0a5083a03fxb9 | _:n65756f5531ab4ee89af252440849a051xb9
+17054571680,1013,+1-705-457-1680,_:n65cb8fd9b48a48a18b29a48a7cfc6d64xb7 | _:nbd7a10abfaa744b3a90eba4a7ff74025xb7 | _:n08d07642ae1c49948455f8b34815e49dxb7 | _:n7a07923d050f405e862f9e0a5083a03fxb7 | _:n65756f5531ab4ee89af252440849a051xb7
+17057495530,1013,+1-705-749-5530,_:n65cb8fd9b48a48a18b29a48a7cfc6d64xb3 | _:nbd7a10abfaa744b3a90eba4a7ff74025xb3 | _:n08d07642ae1c49948455f8b34815e49dxb3 | _:n7a07923d050f405e862f9e0a5083a03fxb3 | _:n65756f5531ab4ee89af252440849a051xb3
0120870707,1013,0120-870-707,_:n37ac2a9526754879bf381261d643afaexb0 | _:n029a62893f2b403d9aa878e0b6a5df14xb0 | _:n7f8e75ff39814b869e7e04c50de8cec9xb0 | _:n063171dfeded45729ccc9057c2362469xb0 | _:n09104bf0d1254055ad3d14bb7688c17axb0
5745357000,969,(574) 535-7000,_:node1iffv0v6fx9462611 | _:node1ifencfsix78705471 | _:node1ifec7nvvx6889673 | _:node1iff0qnh9x21837903 | _:node1iff0qr8kx1930953
8003487422,968,(800) 348-7422,_:node1ifencfsix78705471 | _:node1ifec7nvvx6889673 | _:node1iff0qnh9x21837903 | _:node1iff0qr8kx1930953 | _:node1ife0a3k9x4520556
5413465015,931,541.346.5015,_:node1ifernjb9x7487859 | _:node1iffokkm7x7339250 | _:node1ifd0khspx9973500 | _:node1iffst9gix7371549 | _:node1ifd0kc6cx10142138
+38118514312,922,+381 18 514 312,_:n0c96f063584e44b0a4f8a29d9496de93xb3 | _:n0c96f063584e44b0a4f8a29d9496de93xb4 | _:n6b1c8dbac29049089d06fac886c4df9bxb1 | _:n1767d289cb7c4874bc9c956fd0a2b564xb1 | _:nd5b07a39c8cb41d1a5a9dd9d2e749fe1xb3
9403974334,844,(940) 397-4334,_:n5485efb6f0a24d878369ba1d4ea7f00cxb1 | _:n76a0d2268ae041a0888c470c6f027523xb1 | _:ne5df400f42ec4be3aee29c6af3af5182xb0 | _:n35d7eb8b99494e3ba512070d00fee7b7xb0 | _:n173f82ad2224430b818c6ba7ca7d43ddxb1
+966114948888,799,+966 11 494 8888,_:nf49fb01653944cae9b956e4e11873ed1xb0 | _:na8b02b81e4b3437798fd906e5f2c6aeexb0 | _:n0984c2171c404a19a8689e863b79086fxb0 | _:nd1e3afedae164a569a29a88b7b584389xb0 | _:n5201e7e55c5f49aebc9bac0e8e05fd0fxb0
95824069899,789,958 24 06 98/99,_:n1015dd7ac65c491c981e1bef3011599dxb0 | _:nef0130834fdb4ffca883e2f2d6405f77xb0 | _:ne56b42ddd3614c02b0218d957bc286a5xb0 | _:na902c47296494fb49ef5a434291d6aa4xb0 | _:n3e987a6c46a242f389503c4b7589b2ecxb0
8004249595,752,800-424-9595,_:ndc1197816a1645d889262625b655f45fxb0 | _:n45346f4a4a2a4847971c40b31c433dc3xb0 | _:n074dc7b93fdd4571a71769d88f4366a5xb0 | _:na12d7e3b4f6247c783e1392cc4b1ea83xb0 | _:na3b4f67bcbe64e469ee0973c09c3c95axb0
7137984951,707,(713) 798-4951,_:node1ifd0kq4nx12867438 | _:node1ifd3s8n8x13258872 | _:node1ifd3s49mx295027 | _:node1ifd21ilkx5209650 | _:node1ifd0kg1dx12793859
571353700034202883419900,676,"(571) 3537000, 3420288 y 3419900",_:nb1b94093930f473f909a952d02000c98xb2 | _:na1bca4e0a9d74397ac047f43dc8b3e62xb2 | _:naf22625c2ed94e4ea7de0674dbc2f303xb2 | _:nc95483c3723f4b2abead5be5be088a61xb2 | _:nacee80470e0342b4bb6fecee67fb0125xb2
5124714141,637,512-471-4141,_:node1ifg85d95x3467052 | _:node1ifdfuepfx11007368 | _:node1ifeh837px20796027 | _:node1ifdqdl1px925466 | _:node1ifekv9gpx932848
5124714271,637,512-471-4271,_:node1ifg85d95x3467052 | _:node1ifdfuepfx11007368 | _:node1ifeh837px20796027 | _:node1ifdqdl1px925466 | _:node1ifekv9gpx932848
18774628439,634,1-877-462-8439,_:n260f54dfac11461c81c0d9d58a012a85xb0 | _:n832d02a3ba3e42f1a2c06fae0e200c43xb0 | _:nff7c813e11f84f53a7d8942532ba9226xb0 | _:n74319013b59845218669cabc2c77c5a7xb0 | _:n9bdbf946dddc47ebb81ec4e9d5494867xb0
2026874203,632,Phone: 202-687-4203,_:node1ifehbhs8x5695817 | _:node1ife4g2j4x15586862 | _:node1ifec7p6kx38171800 | _:node1ifeeq1dpx5550251 | _:node1ifeg3q5fx5600531
+84438692137,587,+84 4 3869 2137,_:n255465e0d2dd405fa5989a8ecc5dc043xb0 | _:n7bd9c8ec3a1241648b3dacb890dcb495xb0 | _:n9a5e1eb394c140718987e4e027c144afxb0 | _:n48cf10768fd24a50b5804e960b410093xb0 | _:n17615d23c0b04487b580075ce08d6726xb0
2023195236,582,202-319-5236,_:nf23e9915d2db44f58996b39ad20221c6xb0 | _:n942910139bed46389f8d0802964ef123xb0 | _:na591c6f605904c2ebde454c4a6892b6axb0 | _:nf6da1dff67a8442aa2e834a1861a3818xb0 | _:nccca9e83e31e479ebd4df1dab775a4a1xb0
9055259140,580,905-525-9140,_:node1ifelqf22x531923 | _:node1ifelqf22x531924 | _:node1iffsd6hix5638856 | _:node1iffsd6hix5638857 | _:node1ife77d55x42164745
+9721800207777,576,+972 1-800-207-777,_:n6ed3e38de0894ffc9b1765a0a817a7caxb0 | _:nb0af221cae764409ab59790363b601f3xb0 | _:n95bf73241611417bbfbfdce92c390b1dxb0 | _:nec7cd386e6304752a5bfdc2f6847d310xb0 | _:n750468eb58aa443ab4138f60fb18cfb1xb0
+17244582000,565,+1-724-458-2000,_:ne62f653fc79a4d42a6320c656671ce91xb2 | _:n052c39479d244694a99ac5a8c6d0cd82xb2 | _:n5036b32a0c4a4aafa1ac8d80d06ec35bxb2 | _:na35dc156569a4837948a339d10f7ebf6xb2 | _:nfd537913984b4fcaab79b9fbb50ac6aaxb2
+18504742704,560,+1 (850) 474-2704,_:n431a18acd9fa4064b7ceb76e221ecaaaxb0 | _:n621154850c334bbaae63daec871949e3xb0 | _:n10bf837fad6e4836b3c5831a14c96d79xb0 | _:n271d89261f4741629c816a3135da09b2xb0 | _:n499409ef5a114295bafdfd43e70cad1cxb0
5035388383,558,503-538-8383 | (503) 538-8383,_:node1ife8p7pqx9993409 | _:node1ifg4s81dx14742254 | _:node1ife4friix25122593 | _:node1ifdvi584x34958348 | _:node1ife8pq1mx7591339
+13014059828,555,+1 301-405-9828,_:nfef5c0ab5a464e648d026fd10faffeccxb0 | _:n5d0d0e311abc434a8a7cca4219b1f91bxb0 | _:n2ba3b4ffea2a4291b454cc7a9f79998fxb0 | _:nd3e66fb68a5849fca896a0baf443260fxb0 | _:n98b93438653a4bd3af9178f266dfd9e9xb0
1121398500,554,(11) 2139 8500,_:node1ife8p77mx11935028 | _:node1ifdmh5i4x14254235 | _:node1ifdn1opox11692295 | _:node1ife5casqx21848647 | _:node1ifdqdl1px1852764
11987511659,554,(11) 98751-1659,_:node1ife8p77mx11935028 | _:node1ifdmh5i4x14254235 | _:node1ifdn1opox11692295 | _:node1ife5casqx21848647 | _:node1ifdqdl1px1852764
+31102171100,549,+31 10 217 11 00,_:node1ife8pbh2x14182116 | _:node1ifed7jjbx26912797 | _:node1ifebf7abx4176986 | _:node1iff48ma6x11606397 | _:node1iff0j4ajx11485362
+494312100,531,+494312100 | \r\n                            +49 (431) 2100\r\n                        ,_:node1ife5c4iox14160358 | _:node1ifd2m07cx9277009 | _:node1ifebbn59x4346773 | _:node1iffb9oabx9287805 | _:node1ife8pibix14287158
8007864832,488,800 786 4832,<https://sic.gob.mx/ficha.php?table=centro_educacion&table_id=495> | _:n724a1c1434ba401c8cb83863e1f8f127xb0 | _:nf16683bc5ad140c6a9718146b9cffdfexb0 | _:n062fb6c43cdc47b98c9377fc82abc326xb0 | _:n3a2592b2c8cd4e60a011a674bf1da312xb0
+12542958642,477,+12542958642,_:n103cac318d56435b83fe1d6f2f720b55xb0 | _:nd1865aea5b2a4633a655e6edd8a4700exb0 | _:n524672ea6f374afe92fba58f5d903e78xb0 | _:n297ff44087674f59a5216d44510f4defxb0 | _:n51c669a85a5e4165800eb2d1161a400cxb0
+432742313228200,467,+43-2742-313-228-200,_:node1ifd4prsrx6892845 | _:node1ife0chh7x6700134 | _:node1ife4g150x6486843 | _:node1ifd0tb8tx49296089 | _:node1ifdgrq5kx6823652
0455385000,467,0455 – 38 50 00,_:nfc627b75d498480db6167b9695981c07xb0 | _:n5bece9b95de54d9aa79bc21bdeec173bxb0 | _:n496ebcadae6441c38443b7344c996c7axb0 | _:n02f3a0400f8c44a3a3cac2b7aa60803fxb0 | _:n21dbb5a0ce7549d9ba9f73b701afd97axb0
4154574440,460,(415) 457-4440,_:nd0b45e1820f942bc97bc7882f8817817xb0 | _:ne20798654deb470a986f76d003c14d52xb0 | _:ned3a11494ebe461b97cde36d06176f9axb0 | _:ne3a8872e40ed4072b32287236e844cc8xb0 | _:nbbf74e19052d4525846b05f27909b182xb0
+12085623000,452,+12085623000,_:n1e97e5b1ad9d460dab2477787ebff75fxb5 | _:nd0f2e4f65a054c8db89c29d1bff1ad49xb5 | _:n6a565a6761284773ab510b6631ed9bffxb5 | _:ncac9cf633e944613896425dcb7c35400xb5 | _:n4b16fa3d67fc438b9d895466ef8341e2xb5
920003015,447,920003015,_:node1ifd4q14px17448750 | _:node1ifdtq6c5x17331618 | _:node1ifd3s8n8x22568403 | _:node1ifdmt7k8x19951397 | _:node1ifd0ka05x31769907
5742619500,424,(57)(4) 2619500\r\n                 | (57)(4) 2619500\r\n                \r\n                ,_:node1ifd2m6n8x19310265 | _:node1ifdi85n1x1826651 | _:node1ife5bqoex1882386 | _:node1iffmbadlx11823744 | _:node1iffst9gix6584933
2158986081,400,(215) 898-6081,_:node1iff6s8ptx5687795 | _:node1iffb9k3tx18094938 | _:node1ifekm4rlx18342282 | _:node1iffoicjux13604768 | _:node1iffa4t37x3112172
2026872293,398,Phone: 202-687-2293,_:node1ifdbn891x8867381 | _:node1ifd8t9i4x20623417 | _:node1ifdgbh41x5838924 | _:node1ifde24tgx977415 | _:node1ifdgf12ax962637
+18007726951,394,+18007726951,_:n24ad74e1513846dcac2df676bd015695xb0 | _:n22a4067c98d8467fb7fbc996ab5179cexb0 | _:n1e48d30140754545acec177bc45081d7xb0 | _:nc642e17f1fdf4b57b1aceeb3b954e76fxb0 | _:n1e96106d3b2b4a86a91ceff59eea4d00xb0
+919743277777,379,+91-9743277777,_:n43904f6635a446b580dd725e366495efxb0 | _:nadbe9a9f015541ffbd48744f2262c0d8xb0 | _:na39acabd72f04381a8b86627dc62e4cbxb0 | _:ncf25b21491e24e50b47c9517ce6e7638xb0 | _:nf359b839389645ad84db0e022892a162xb0
7245326600,373,724-532-6600,_:n862bc6cd0b30440c95fbc064b545761axb0 | _:ndc4ad6482c404e10960f7119225c9c76xb0 | _:nb960e3e5180741b3982c98714bbd7708xb0 | _:n1aa1409716cc4ffcaf9dd436456be586xb0 | _:n075587e12e9e451d95fba629f7ab97d8xb0
+49403287070,344,+49 40 328707-0,_:node1ifd6l9tmx30991833 | _:node1ifdi87opx4480575 | _:node1ife8icrbx31903458 | _:node1ifec7p6kx31773415 | _:node1ifekm4rlx2058342
2026876134,344,\n      Phone number\n      P.\n      202-687-6134\n    ,_:node1iffuaffmx3758336 | _:node1iffuaffmx3758339 | _:node1iffqq80ox3892990 | _:node1iffqq80ox3892994 | _:node1iffukje0x1470503
2128545406,342,(212) 854-5406,_:n55844b571cf143b88701600f29c51b9dxb0 | _:n3cadde3433d249e0814897f83c331effxb0 | _:n44c431f7961041b1b020821443b5925cxb0 | _:n8cba2be0bce342d98c69bb6f41141f57xb0 | _:n74bb3c720ccc43d88a96ffdd34af2e53xb0
2108203659,335,21 0820 3659,_:n63921ce5b6dc4605b8863296b0dda3b5xb0 | _:nac03a893a1004825941bfed72c0ee01axb0 | _:neb61a27e8aeb4c95acd9f847427b84b4xb0 | _:n8e685778d3e14edd9b313d61055dd24bxb0 | _:n34b7a9f0da71423ab90e4dc62862f0a5xb0
2026875932,332,\n      Phone number\n      P.\n      202-687-5932\n    ,_:node1ifec0oa5x1055588 | _:node1ifec0oa5x1055591 | _:node1ife8p77mx6182798 | _:node1ife8p77mx6182801 | _:node1ife8pdd8x11142584
2026876838,306,\n      Phone number\n      P.\n      202-687-6838\n    ,_:node1ifg9njobx397482 | _:node1ifg9njobx397485 | _:node1ifgbocu3x394922 | _:node1ifgbocu3x394925 | _:node1ifgbmhgdx390554
2026878409,296,\n      Phone number\n      P.\n      202-687-8409\n    ,_:node1ifgasfcbx2833352 | _:node1ifgasfcbx2833355 | _:node1ifg58g34x10093235 | _:node1ifg58g34x10093238 | _:node1ifgbtlo2x306082
+528007864832,278,+52 800 786 4832,_:n969f5699b6e542b19ae0643a1b025d83xb0 | _:n005cb538d5ca4860a3f159ea10f4c89dxb0 | _:n9237d7807b164933a1505fe59db63645xb0 | _:n82cb61ea751446a19ec679d75ee2c073xb0 | _:n058dd6f814cf44a986e44c09073c3d02xb0
+18007827284,266,+18007827284,_:node1ifd34avnx4971179 | _:node1ifd0kjmox22370797 | _:node1ifd3s6rox15136692 | _:node1ifd6t8skx6525522 | _:node1ifd4ps0rx22382187
+18886715803,265,+1-888-671-5803,_:nde2b1944c7f349b38ce2104e569485d5xb0 | _:nfef471876832450c9a360979a69082f4xb0 | _:nbd354c7ccb7d431db087720ea8681b12xb0 | _:nddf2c67ff7c041899cb1bb43dc7f20c6xb0 | _:n6b5a72f1a2404f77af7652da91f953d6xb0
01932797700,262,01932 797 700,_:n6a685de01b7f40308be703b23d67f0bfxb0 | _:n7b2d7854afeb46d9a2a6fcbfb8facf14xb0 | _:n61e1b4c33dbb4f41bebf72a3edadf636xb0 | _:n38ca412616764914823d5ebbc5e254daxb0 | _:ncfe6fb39f5cc4138b7e765ea9b0baf25xb0
+13172744591,256,+1-317-274-4591,_:n39ba407a75134fe6b46df63ebff52e4axb7 | _:n5388bfb76fd947d484e747a9067cdbc4xb7 | _:n2c5dff1bd1c14263a131ce264052895dxb7 | _:nba8530c8cce34b8284246c2a554bd70bxb7 | _:n59fd101b67614851a2482d50b87220c0xb7
+13172745555,256,+1-317-274-5555,_:n39ba407a75134fe6b46df63ebff52e4axb4 | _:n5388bfb76fd947d484e747a9067cdbc4xb4 | _:n2c5dff1bd1c14263a131ce264052895dxb4 | _:nba8530c8cce34b8284246c2a554bd70bxb4 | _:n59fd101b67614851a2482d50b87220c0xb4
7408571311,256,740-857-1311,_:nc39587f8473b45b6be7c389f787b3e0bxb0 | _:n7fb7d0e87a2548f48cf46d09593bb0d3xb0 | _:n3104bad8aed244219d34f7f964cc433axb0 | _:n5bd1c625ea9d4447b7e9c6ac8ec43a59xb0 | _:n98a22d1acd6f4a9dbd7717317a55f543xb0
2026873838,246,\n      Phone number\n      P.\n      202-687-3838\n    ,_:node1iff53ok5x15934286 | _:node1iff53ok5x15934289 | _:node1iffhed22x1242074 | _:node1iffhed22x1242077 | _:node1ifencfsix55491532
2024442223,237,Phone: 202-444-2223,_:node1ifdvb6ntx5787436 | _:node1ifg62laex8150056 | _:node1ifg69s90x3518289 | _:node1ifg588ckx6125491 | _:node1iff6qdnix13182705
2026874300,222,\n      Phone number\n      P.\n      202-687-4300\n    ,_:node1ifg430gkx2741415 | _:node1ifg430gkx2741418 | _:node1iffpv30dx343481 | _:node1iffpv30dx343484 | _:node1iffv8lbnx364930
968325400,211,968325400,_:nc35f26e945df4c60b66f8e502598435exb1 | _:n621a5fcf0e3c474da24bd47ec2211134xb1 | _:nc2cb0ef7fa4040dcad94f65cf283d86dxb1 | _:n2ed430ae1c874399a4bd66c0aaeee042xb1 | _:ndfbf0bde8c5649bd97880d26af7d0045xb1
+6562215253,200,+65 62215253,_:nd3bbc43eea8d4c75991673b980e56ef8xb0 | _:n38b7d47d5d834835bf9a84e99a748f94xb0 | _:n532ae8a3616a4e509bd333e9bf4a5a8cxb0 | _:nd597c8ba3e5340ecb59295b9f2ad9bd0xb0 | _:n32127fc9081e462aa956cc5c64b57216xb0
+918595984948,194,+918595984948,_:n84843b2d7bdf495ca2aee5cbc9551f1cxb0 | _:na63fc8a56cba4b0daeb5d8806144f815xb0 | _:n68af9c37cc5a4dcba62a7a4c8894b66dxb0 | _:nda84ba6903654b8487e1f244cf1547cfxb0 | _:ndd205889266e492aa1876d6851a9c886xb0
918595984948,194,91 85959 84948,_:ndc270a16eda54e90b4a12268fb346dbfxb0 | _:n692aad8953544ce99b30e134ee51c8e7xb0 | _:nbecbffc28b2b44dbb7ffb2eb15b9166dxb0 | _:n4025f40d821741c3a452910d62062027xb0 | _:naae9d9bacbb94cca9d3be7e5a9250e9dxb0
+18005355494,193,+18005355494,_:n9aa473a9c52243f8ae17d5a6579e8930xb0 | _:n8cd718ed94904da68a95fd98e4be1ee7xb0 | _:neb2276c695f347289ab4e7de30f42df3xb0 | _:neda93ba929e84803b6ef102b7cac4775xb0 | _:nda8f243eeed047e493067a1296dd171fxb0
+49931321870,193,\r\n                            +49 (931) 32187 0\r\n                         | +49 93 13 21 87 0,_:node1iff3jbcfx30970808 | _:neaf636a533db45d19084ed765a1d5d02xb0 | _:n4da08251ca32444f9a5b0f997593d21cxb0 | _:n4f1bdb34a3fd4be192f83e0a43b29077xb0 | _:n56a3367c7cd0467c8731f129aaaceb26xb0
9405526291,189,9405526291,_:nbb444c0b14c04d8ba3a46497bbc15a4bxb0 | _:n86f26fede98a49769340eaaa4f7d5a04xb0 | _:nb02d901fd868433fb72c76472c831da5xb0 | _:n6e64588f052046b490e3a9d4b4369c79xb0 | _:ndbf1ed9f910440f6afc7e3d61ab9eeeaxb0
+34943212800,188,+34 943 21 28 00,_:n3e3619ed600f437f8b1d86896478b867xb0 | _:n7f9ee4a76a244e978273e465a667c1c6xb0 | _:nbe8cad430a684e6b9f3e7e61eb545ef8xb0 | _:n1630607d17c7451db6ee38f36cb69942xb0 | _:n97577c2dc1a44e7081ab39c9bb8a5a16xb0
+41216516200,183,+41 21 651 62 00,_:n020d32d462184c17a6e5705daced2148xb1 | _:nf8181a510fb64a88a63109fddf9a82d8xb1 | _:n81d4ce9e5d0a4c9ba3309ca99aeddf8exb1 | _:n4293cbc781094fc5827804f4106ac01cxb1 | _:n72ad5e575db445e5b592ffe7cb38fda8xb1
0086,177,0086,_:n7e9062ae82b84741b85c73ea8c6c959bxb0 | _:n56900d36e6b6405a83b53f8742ca9a7fxb0 | _:n26f84c822cc746459054e7ab0bfe2808xb0 | _:n528e7591fb7b4a2e987eaa1e053efae7xb0 | _:n0c9755f9cdd1434c84504182fd35322cxb0
2026876247,176,\n      Phone number\n      P.\n      202-687-6247\n    ,_:node1ifdvb51kx15023148 | _:node1ifdvb51kx15023151 | _:node1ife5casqx275853 | _:node1ife5casqx275857 | _:node1ife3r9v4x4861498
2023195488,170,202-319-5488,_:n6b627ea8badc47499262888cf2cfaff2xb0 | _:n5be0c0cff7b3447f8c820add59e72f98xb0 | _:nc3a1bc5fe3fe4781afc6879ef8ad7294xb0 | _:n049ddb6fd79a4e0e857883fe420bbba1xb0 | _:nd27c36ac1b3845878bc7025bb3a9aba2xb0
0432561336,169,(0432)56-13-36,_:node1iff1n3phx6334996 | _:node1ifefhh10x56124051 | _:node1ifevplt4x4093971 | _:node1iff0qpdvx1535572 | _:node1ifencfsix36196026
2026877007,168,\n      Phone number\n      P.\n      202-687-7007\n    ,_:node1ifd6t6h2x3585819 | _:node1ifd6t6h2x3585822 | _:node1ifd0kmplx31024510 | _:node1ifd0kmplx31024513 | _:node1ifd3s8vcx11096413
8149495000,162,814-949-5000 | (814) 949-5000,_:nb6f8ed295e3c45c58245486f6c7d0693xb0 | _:na6dbb00b05334dfea1ff3ce6f59f42a1xb0 | _:n3d77179dfb66405880da0aca8d519ddaxb0 | _:nbe9bd2bf2e124cb898af018fdf87c041xb0 | _:ne0d7f923cd7446a5ad4b4e308853142exb0
9518274105,160,951.827.4105,_:node1ifg3cl94x10602087 | _:node1iffuklkox30249619 | _:node1iffutm9ux25055878 | _:node1ifgbo858x644502 | _:node1ifgboau7x593735
2026874042,158,\n      Phone number\n      P.\n      202-687-4042\n    ,_:node1ifec7p6kx43122393 | _:node1ifec7p6kx43122396 | _:node1ifeepjiox39974504 | _:node1ifeepjiox39974507 | _:node1ifernjtix5994311
2026874134,156,\n      Phone number\n      P.\n      202-687-4134\n    ,_:node1ifeffhqsx23585709 | _:node1ifeffhqsx23585712 | _:node1ifelq2p2x6184653 | _:node1ifelq2p2x6184656 | _:node1ifeh837px26007392
2026872500,154,Phone: 202-687-2500,_:node1ife7vs3px3330574 | _:node1ife5c908x10318376 | _:node1ife7707hx5934305 | _:node1ife8phq8x717861 | _:node1ife8pjsbx748780
8003164127,154,800-316-4127,_:n22a1107a9fed4c66a73d86f42edb664cxb0 | _:n3f54d56808584ce9838bcdfbb6a9417dxb0 | _:n7311fde71dfd4abd818c955a44e960c2xb0 | _:n9c0d29bb46864ec2bc9a92c8f169395axb0 | _:n6a0acb847fbf4d70a4ddc24666a5790axb0
0272551577,153,(02) 7255 1577,_:n55566821470b4f048d3d31c065e7224fxb0 | _:n93af65850fca49c69cf95171c174346axb0 | _:n55e37fbbae114f8eab276a9fe30c8cb8xb0 | _:nea392de262a14eb392ed275eef4406d5xb0 | _:nda3d21a6077741b1997db8d58dab6692xb0
